seed_defensive_op,defensive_op,is_seed,source_manifest
kfree,kfree,yes,packaged expanded-operation manifest
kfree,mpi3mr_free_mem,no,packaged expanded-operation manifest
kfree,smc_wr_free_link_mem,no,packaged expanded-operation manifest
kfree,iscsi_session_free,no,packaged expanded-operation manifest
kfree,amdgpu_free_extended_power_table,no,packaged expanded-operation manifest
kfree,r600_free_extended_power_table,no,packaged expanded-operation manifest
kfree,bch_free,no,packaged expanded-operation manifest
kfree,brcms_c_detach_mfree,no,packaged expanded-operation manifest
kfree,nvmf_free_options,no,packaged expanded-operation manifest
kfree,usbduxsigma_free_usb_buffers,no,packaged expanded-operation manifest
kfree,atomisp_css_free_stat_buffers,no,packaged expanded-operation manifest
kfree,qla2x00_mem_free,no,packaged expanded-operation manifest
of_node_put,of_node_put,yes,packaged expanded-operation manifest
of_node_put,sunxi_mc_smp_put_nodes,no,packaged expanded-operation manifest
of_node_put,arndale_put_of_nodes,no,packaged expanded-operation manifest
of_node_put,pd692x0_of_put_managers,no,packaged expanded-operation manifest
of_node_put,free_overlay_changeset,no,packaged expanded-operation manifest
of_node_put,mop500_of_node_put,no,packaged expanded-operation manifest
of_node_put,reset_gpio_of_node_put,no,packaged expanded-operation manifest
of_node_put,__snd_soc_of_put_component,no,packaged expanded-operation manifest
of_node_put,lt8912_put_dt,no,packaged expanded-operation manifest
of_node_put,msi_bitmap_free,no,packaged expanded-operation manifest
of_node_put,nwl_dsi_select_input,no,packaged expanded-operation manifest
of_node_put,pcibios_free_controller,no,packaged expanded-operation manifest
clk_put,clk_put,yes,packaged expanded-operation manifest
clk_put,clk_range_test_multiple_set_range_rate_put_maximized,no,packaged expanded-operation manifest
clk_put,clk_range_test_multiple_set_range_rate_put_minimized,no,packaged expanded-operation manifest
clk_put,omap1_mcbsp_free,no,packaged expanded-operation manifest
clk_put,fimc_md_put_clocks,no,packaged expanded-operation manifest
clk_put,dss_put_clocks,no,packaged expanded-operation manifest
clk_put,clk_test_orphan_transparent_multiple_parent_mux_set_parent_put,no,packaged expanded-operation manifest
clk_put,amba_put_disable_pclk,no,packaged expanded-operation manifest
clk_put,fimc_put_clocks,no,packaged expanded-operation manifest
clk_put,_put_cluster_clk_and_freq_table,no,packaged expanded-operation manifest
clk_put,st_slim_rproc_put,no,packaged expanded-operation manifest
clk_put,rust_helper_clk_put,no,packaged expanded-operation manifest
kref_put,kref_put,yes,packaged expanded-operation manifest
kref_put,free_entry,no,packaged expanded-operation manifest
kref_put,drbd_free_resource,no,packaged expanded-operation manifest
kref_put,__put_mtd_device,no,packaged expanded-operation manifest
kref_put,devcom_free_comp_dev,no,packaged expanded-operation manifest
kref_put,mlx5_ib_dm_mmap_free,no,packaged expanded-operation manifest
kref_put,__cifs_put_smb_ses,no,packaged expanded-operation manifest
kref_put,free_phys_pg_pack,no,packaged expanded-operation manifest
kref_put,efc_nport_free,no,packaged expanded-operation manifest
kref_put,dma_req_free,no,packaged expanded-operation manifest
kref_put,efc_node_free,no,packaged expanded-operation manifest
kref_put,rnbd_put_sess_dev,no,packaged expanded-operation manifest
