frequency,pattern_count
1,13720
2,2796
3,941
4,549
5,318
6,198
7,145
8,97
9,104
10,81
11,56
12,54
13,23
14,29
15,19
16,26
17,32
18,19
19,20
20,16
21,10
22,15
23,11
24,8
25,9
26,7
27,10
28,6
29,5
30,3
31,9
32,3
33,4
34,5
35,5
36,5
37,7
38,3
39,4
40,2
41,3
43,4
44,3
45,5
46,2
47,2
48,3
49,2
51,2
52,4
53,1
54,2
56,2
57,1
58,1
60,2
61,2
62,2
63,3
64,4
65,4
67,1
68,1
71,1
73,1
74,1
75,1
77,2
78,1
79,1
80,3
81,1
82,2
84,3
85,1
86,2
88,1
89,2
90,3
92,1
95,1
96,1
97,2
98,1
99,1
103,3
104,1
110,1
111,1
116,1
117,1
120,2
121,1
122,1
125,1
137,1
141,1
142,2
147,1
153,1
164,1
181,1
214,1
216,1
226,1
231,1
234,1
235,1
239,1
241,1
264,1
278,1
284,1
338,1
341,1
490,1
502,1
532,1
1127,1
1615,1
1947,1
5899,1
6597,1
